"study" "outcome" "r" "var" "n" "sampletype1"
"520" 56 107 -0.22 0.00214583545023697 423 "MTurk"
"609" 56 108 -0.227 0.0021317470091019 423 "MTurk"
"165" 57 109 -0.12 0.00298894572307692 326 "MTurk"
"166" 57 110 -0.2 0.00274285714285714 337 "MTurk"
"256" 58 111 -0.005 0.000670207775217828 1493 "conv"
"435" 59 112 0 0.0104166666666667 97 "MTurk"
"169" 60 113 -0.16 0.00703300266666667 136 "MTurk"
"259" 61 114 -0.46 0.00175091425352113 356 "conv"
"260" 62 115 -0.55 0.00328720439189189 149 "conv"
"261" 63 116 -0.14 0.004470624 216 "conv"
"262" 63 117 -0.2 0.00565398773006135 164 "conv"
"263" 63 118 -0.03 0.0100828364646465 100 "conv"
"264" 64 119 -0.123 0.00708007946453285 138 "conv"
"265" 64 120 -0.115 0.00936273942908654 105 "conv"
"266" 64 121 0.028 0.00915993224455046 110 "conv"
"178" 65 122 -0.113 0.00102592110248526 951 "repr"
