"p","q","T-sq Z - min","T-sq Z - max","Naive F - min","Naive F - max"
5,5,0,0.04,0.0654,0.2246
5,4,0,0.052,0.047,0.1963
5,3,0,0.0567,0.0031,0.1855
5,2,0,0.0571,0.0011,0.1664
4,4,0,0.0512,0.0563,0.221
3,3,0,0.0556,0.049,0.2181
2,2,0,0.0564,0.018,0.1896
